( | ) = 1.40720389965
(n| ) = 1.37888683858
(o|n) = 0.825582104264
(t|o) = 1.61673511463
(e|t) = 0.73245321048
( |e) = 0.454638953975
(d| ) = 0.994153283645
(e|d) = 0.597146384455
(l|e) = 1.09206320533
( |l) = 0.927064444615
(t| ) = 1.54197389034
(r|t) = 1.00095467087
(a|r) = 0.68863710792
(s|a) = 1.40287522635
(c|s) = 1.17112799367
(r|c) = 1.52669533018
(i|r) = 0.785259004406
(t|i) = 1.29047322108
(t|t) = 0.96294895498
(o|t) = 0.710160094449
(r|o) = 0.957991458672
(e|r) = 0.621525656872
(c|e) = 1.83039549307
(o|c) = 0.545029351281
(r|r) = 1.59255133976
(t|e) = 1.54542455457
(i|t) = 0.909314347042
( |i) = 0.537009326536
(g| ) = 1.70442126873
(l|g) = 0.676285433171
(i|l) = 0.9228827598
(o| ) = 1.78881168271
(v|o) = 1.56391937234
(v|v) = 1.61721348466
(i|v) = 0.898249860885
(i|i) = 2.35187937789
(e| ) = 1.25599976369
(r|e) = 0.833983851857
(o|r) = 0.988844420099
(p|i) = 2.04277266711
(o|p) = 0.761472744976
(g|o) = 1.69406951576
(r|g) = 1.22404622546
(f|a) = 2.2438272255
(i|f) = 0.642812170346
(c|i) = 1.36222914044
(i|c) = 0.910500031486
(i|d) = 0.478529487548
(p| ) = 1.12941777207
(u|p) = 1.46899754262
(n|u) = 0.623240503103
(t|n) = 0.793971281781
(g|e) = 1.59676798168
(g|g) = 1.08275605255
(i|g) = 0.645594027426
(a|i) = 1.13868357076
(t|a) = 1.17747030962
(u|t) = 1.25956638571
(r|u) = 1.17573990586
(l|a) = 1.13274998833
('|l) = 1.21888853734
(i|') = 0.666884441011
(n|i) = 0.963046167407
(d|n) = 1.16107070419
(e|c) = 0.987821341149
(n|o) = 0.849080430707
( |n) = 0.862457734394
(r|p) = 0.758157503825
(s|e) = 1.15456571058
(e|s) = 0.798577538963
(n|e) = 0.948576269284
(e|n) = 0.957846381674
(l|l) = 0.791965875772
(o|') = 1.08168599528
(p|o) = 1.70723096182
(e|p) = 0.631907207752
( |a) = 0.414653374558
(g|i) = 1.68809164922
(a|n) = 1.01716038289
(e|l) = 0.876145422797
(s| ) = 1.01905497167
(t|s) = 0.859860121095
(a|t) = 0.638078897886
( |o) = 0.402697546343
(d|o) = 1.95890259082
(o|d) = 0.808971887068
(d|e) = 1.61430243572
( |d) = 1.55073520499
(a| ) = 1.10357963225
(g|a) = 1.76396377078
(u|i) = 1.63547715456
(u| ) = 1.50477720158
(c| ) = 1.05053876408
(u|c) = 1.29942960519
(i|s) = 0.807019069945
(b|i) = 2.04863170346
(i|b) = 0.594710845153
(l|i) = 1.23702483829
(a|l) = 0.67462464429
(m|a) = 1.4427381549
(o|m) = 0.985981865903
(n|n) = 1.6390693218
(r| ) = 1.60716100253
(m|o) = 1.34867598932
(a|m) = 0.671295817755
(n|a) = 0.989185587368
(z|n) = 1.37347894474
(o|z) = 1.2754128577
(z|r) = 2.29683388107
(a|z) = 0.438473075472
(z|i) = 2.31495631519
(i|z) = 0.447776244232
(o|i) = 1.00177696049
(m| ) = 1.10328691522
(i|m) = 0.517071332299
(i|a) = 1.79881130922
(f| ) = 1.4940923142
(r|i) = 1.6649321339
(e|z) = 1.31003632246
( |r) = 1.27110800177
(b| ) = 1.84474831235
(e|b) = 0.812651406579
(m|e) = 1.63632328793
(p|m) = 1.08998438062
(d|a) = 1.65036224807
(c|m) = 3.85266294434
(m|c) = 3.9146780501
(x|m) = 3.85266294434
(x|x) = 0.845098040014
(i|x) = 0.502675359192
(e|i) = 1.46830514171
(l| ) = 1.18539442782
(r|a) = 1.12420777085
(i| ) = 1.19132669437
(u|d) = 1.48917557396
(z|u) = 2.39835761012
(o|s) = 0.931002071587
(s|i) = 1.32864799318
(v|r) = 2.03664013938
(a|v) = 0.455949252361
(t|u) = 1.03093091291
(a|p) = 0.755762216226
(e|a) = 2.23972039129
(v|s) = 2.29855475997
(e|v) = 0.610940177747
(z|e) = 2.05280516557
(l|o) = 1.11060899179
(a|d) = 0.892086332463
(y|p) = 3.74238468275
(r|y) = 1.09108046935
(h|g) = 1.86040083701
(t|h) = 2.90764165392
( |t) = 4.06777735863
(y|b) = 3.28638161075
( |y) = 0.723103684053
( |f) = 3.36241963825
(b|a) = 1.94538386334
( |b) = 3.28638161075
( |g) = 3.31676687014
(p|s) = 1.33306966748
(i|p) = 0.836588802385
( |c) = 3.9146780501
(v| ) = 1.55640632032
( |s) = 3.80641063166
(p|e) = 2.09244736677
(t|r) = 1.4093319925
(m|i) = 1.36222914044
(a|c) = 0.954207272565
(p|a) = 1.77926475861
( |p) = 3.74238468275
(v|i) = 1.52011221512
( |v) = 3.29945887157
(x|i) = 3.77735431308
( |x) = 1.06694678963
(x| ) = 3.62155707486
(v|x) = 0.790740377692
(a|f) = 0.714710743555
(c|n) = 1.39496613427
(l|u) = 1.37743017086
(z|z) = 0.780895756294
(u|f) = 1.18923336984
( |u) = 1.31780418447
(a|g) = 1.22827639996
(d|r) = 1.72058115335
(u|s) = 1.14007988736
(s|u) = 1.40111504466
(l|r) = 1.8818605331
(f|o) = 2.09641669796
(s|o) = 1.22749740158
(f|s) = 2.07241134513
(o|f) = 0.773214967607
(a|b) = 0.836646156518
(b|m) = 1.48779939447
(h|c) = 0.671391904015
('|h) = 1.24623466153
(i|e) = 1.70872730003
(i|n) = 1.15642113705
(e|m) = 0.700680548887
(a|') = 0.486660405904
(v|a) = 1.1095758991
(s|s) = 0.958961369165
(n|g) = 0.942018524131
(o|l) = 1.15862528549
(e|h) = 0.165814985791
(i|h) = 0.667449115705
(a|e) = 1.9963066976
(t|l) = 1.34480784443
(o|u) = 1.04776614022
(u|g) = 1.14241627266
(a|u) = 0.897871009679
(u|m) = 1.96617221917
(s|r) = 1.48272294188
('|s) = 2.06921798896
('|n) = 2.1556991178
(m|r) = 1.54745437326
(v|e) = 1.23929854721
(r|b) = 0.904364568173
(u|l) = 1.54222585927
(c|u) = 1.9212363554
(o|v) = 0.657214247275
(g|l) = 2.32161618177
(e|g) = 0.986759169269
(i|o) = 1.82066367975
(r|l) = 3.24243493572
(e|') = 0.682630980904
(c|o) = 1.59072539274
(u|b) = 1.50105177574
(i|u) = 1.18505845914
(h| ) = 3.05728564442
(o|h) = 1.98188768229
(q| ) = 1.70170449368
(u|q) = 0.0035489021336
(e|u) = 1.03950749517
(b|l) = 2.91144171668
(c|l) = 1.70192670214
(a|s) = 1.00803625498
(f|r) = 2.76079368973
(e|f) = 0.897532839947
(c|a) = 1.58367858749
(c|c) = 1.11190432481
(s|n) = 1.55981489444
(g|n) = 1.74608611947
('|e) = 3.1041331251
( |') = 1.48694416578
(q|i) = 2.92111990695
(g|s) = 2.37504686751
(z|a) = 1.92709507763
(p|p) = 1.33584450232
(c|r) = 1.84729614798
(r|f) = 0.997556088379
(r|d) = 1.62771748694
(f|e) = 2.55002958843
(m|m) = 1.4587953853
('|a) = 3.43674555718
(d|i) = 1.70647722983
(b|b) = 0.782590927691
(o|b) = 0.980314174392
(f|i) = 2.12414179931
(f|f) = 1.00006284559
(n|r) = 1.65186534098
(u|a) = 2.34566508783
(m|u) = 1.70159215103
(e|o) = 2.36498696624
(l|p) = 1.8163854163
(s|l) = 2.35782835442
(f|n) = 1.90591183137
(d|l) = 2.66702713916
(a|o) = 2.28372561948
('|c) = 2.87328536494
('|m) = 1.7075701761
(n|s) = 3.80641063166
(d|u) = 1.76578500321
(v|l) = 2.4216394302
(b|u) = 1.99278864399
('|d) = 1.39856072505
(u|e) = 2.87601286604
(l|c) = 2.44240929817
(u|') = 0.898580903238
(g|r) = 1.98372411981
(q|n) = 2.2782397562
('|v) = 2.66263677399
(u|n) = 1.70433605331
(r|v) = 1.65491087425
(b|e) = 2.15518695547
('|z) = 2.73781085559
(a|a) = 2.48609227876
(g|u) = 1.89631097993
(o|g) = 1.25910076623
(b|s) = 3.0429826381
(b|r) = 2.43153245497
(q|a) = 2.85527209663
(p|l) = 2.4473829348
(u|v) = 2.07472443372
('|t) = 2.78902375768
(z|o) = 2.74627186605
(b|o) = 2.50261997347
(v|n) = 2.06489170378
(m|s) = 2.21534602464
(q|o) = 3.06039715981
(u|r) = 2.15711621243
(h|o) = 2.9117441491
( |h) = 1.74841832015
(e|e) = 2.55893850559
(m|l) = 2.09189778114
(p|u) = 1.75565522662
(o|e) = 2.70148101434
(n|l) = 3.45071087815
(q|l) = 3.16671422178
(u|o) = 2.92451843714
(q|e) = 2.7689488532
(o|a) = 3.11223446566
(p|n) = 2.87839075772
(d|d) = 2.18560211872
(a|h) = 1.95339914448
(f|l) = 2.85708405436
(h|a) = 3.21489680756
(f|u) = 2.32750175286
(z|l) = 2.77932439544
(u|z) = 2.22965536714
(q|c) = 2.68422912872
(o|o) = 3.15952863281
(l|n) = 3.31204631866
(m|t) = 3.31444969197
(p|r) = 2.39653679426
(l|f) = 1.79421791418
('|o) = 2.84210822096
(l|b) = 1.79501991691
(m|n) = 3.11575167351
(r|n) = 3.23632560472
(b|n) = 3.68002310395
(v|u) = 3.25459201625
(q|s) = 3.18316134127
(l|s) = 3.18316134127
(d|s) = 3.46398795084
(b|') = 3.19451434188
('|r) = 3.8878984881
(l|v) = 3.77658012629
(u|u) = 3.59701469707
(z| ) = 3.73070154428
(l|h) = 3.0537696896
(h|i) = 4.11977699391
(t|f) = 3.36241963825
(s|p) = 2.98905701609
(j| ) = 4.5757995843
(e|j) = 0.954242509439
(l|t) = 4.06777735863
(m|g) = 2.83964561542
(n|p) = 3.74238468275
(f|x) = 1.54406804435
(h|e) = 3.80310312944
('|i) = 3.97364895823
(x|a) = 3.63766039996
(a|x) = 1.54406804435
(s|') = 2.82653755659
(q|r) = 3.54547580727
(s|b) = 3.06453286113
( |m) = 3.63081419473
(h|t) = 3.84592860902
(p|v) = 3.77658012629
(x|o) = 3.90549519982
(y|t) = 3.84592860902
(l|y) = 1.09108046935
(x|e) = 3.99939777458
(g|x) = 1.54406804435
(y|a) = 4.39098806662
(o|y) = 1.09108046935
(k|r) = 4.10974723771
(v|k) = 0.954242509439
(h|u) = 3.81886344669
(h|') = 2.63024291144
(y|d) = 3.84520143115
(u|h) = 3.27561843922
(p|') = 3.19451434188
(d|') = 2.97266559227
(v|m) = 3.63081419473
(q|u) = 3.59701469707
(t|x) = 1.54406804435
('|u) = 3.81886344669
(p|x) = 1.54406804435
(f|g) = 3.53861561976
(v|h) = 3.27561843922
(n|h) = 3.27561843922
